lineage_id,output_file,output_record_id,output_column,output_value,output_unit,lineage_role,source_record_id,transformation_id,scenario_id,parent_input_ids,verification_status,notes
market_params.csv:C02:price_status,market_params.csv,C02,price_status,observed,configuration,identifier,PRICE_C02,,,[],pending_verification,
market_params.csv:C03:market_id,market_params.csv,C03,market_id,C03,configuration,identifier,STAT_C03,,,[],documented,
market_params.csv:C03:city,market_params.csv,C03,city,Suzhou,configuration,identifier,STAT_C03,,,[],documented,
market_params.csv:C03:demand_weight,market_params.csv,C03,demand_weight,0.14717246,ratio,derived,STAT_C03,T_DEMAND_WEIGHT_001,,"[""STAT_C03"", ""STAT_C01"", ""STAT_C02"", ""STAT_C03"", ""STAT_C04"", ""STAT_C05"", ""STAT_C06"", ""STAT_C07"", ""STAT_C08"", ""STAT_M09"", ""STAT_M10"", ""STAT_M11"", ""STAT_M12"", ""STAT_M13"", ""STAT_M14"", ""STAT_M15""]",documented,
market_params.csv:C03:mu_annual_tonnes,market_params.csv,C03,mu_annual_tonnes,147172.461993,tonnes/year,derived,STAT_C03,T_MARKET_DEMAND_001,SCEN_REGIONAL_TOTAL_DEMAND_TONNES,"[""market_params.csv:C03:demand_weight"", ""SCEN_REGIONAL_TOTAL_DEMAND_TONNES""]",documented,
market_params.csv:C03:mu_daily_tonnes,market_params.csv,C03,mu_daily_tonnes,403.212225,tonnes/day,derived,SCENARIO_ASSUMPTION,T_DAILY_DEMAND_001,SCEN_OPERATING_DAYS,"[""market_params.csv:C03:mu_annual_tonnes"", ""SCEN_OPERATING_DAYS""]",documented,
market_params.csv:C03:sigma2_daily,market_params.csv,C03,sigma2_daily,6503.203924,(tonnes/day)^2,derived,SCENARIO_ASSUMPTION,T_DAILY_VARIANCE_001,SCEN_DEMAND_CV,"[""market_params.csv:C03:mu_daily_tonnes"", ""SCEN_DEMAND_CV""]",documented,
market_params.csv:C03:observed_price_cny_per_tonne,market_params.csv,C03,observed_price_cny_per_tonne,3470.0,CNY/tonne,observed,PRICE_C03,,,[],pending_verification,
market_params.csv:C03:v_i_baseline,market_params.csv,C03,v_i_baseline,470.0,CNY/tonne,derived,PRICE_C03,T_RESERVATION_PRICE_001,SCEN_PRODUCTION_COST_CNY_PER_TONNE,"[""market_params.csv:C03:observed_price_cny_per_tonne"", ""SCEN_PRODUCTION_COST_CNY_PER_TONNE""]",pending_verification,
market_params.csv:C03:price_status,market_params.csv,C03,price_status,observed,configuration,identifier,PRICE_C03,,,[],pending_verification,
market_params.csv:C04:market_id,market_params.csv,C04,market_id,C04,configuration,identifier,STAT_C04,,,[],documented,
market_params.csv:C04:city,market_params.csv,C04,city,Wuxi,configuration,identifier,STAT_C04,,,[],documented,
market_params.csv:C04:demand_weight,market_params.csv,C04,demand_weight,0.09072564,ratio,derived,STAT_C04,T_DEMAND_WEIGHT_001,,"[""STAT_C04"", ""STAT_C01"", ""STAT_C02"", ""STAT_C03"", ""STAT_C04"", ""STAT_C05"", ""STAT_C06"", ""STAT_C07"", ""STAT_C08"", ""STAT_M09"", ""STAT_M10"", ""STAT_M11"", ""STAT_M12"", ""STAT_M13"", ""STAT_M14"", ""STAT_M15""]",documented,
market_params.csv:C04:mu_annual_tonnes,market_params.csv,C04,mu_annual_tonnes,90725.643356,tonnes/year,derived,STAT_C04,T_MARKET_DEMAND_001,SCEN_REGIONAL_TOTAL_DEMAND_TONNES,"[""market_params.csv:C04:demand_weight"", ""SCEN_REGIONAL_TOTAL_DEMAND_TONNES""]",documented,
market_params.csv:C04:mu_daily_tonnes,market_params.csv,C04,mu_daily_tonnes,248.563406,tonnes/day,derived,SCENARIO_ASSUMPTION,T_DAILY_DEMAND_001,SCEN_OPERATING_DAYS,"[""market_params.csv:C04:mu_annual_tonnes"", ""SCEN_OPERATING_DAYS""]",documented,
market_params.csv:C04:sigma2_daily,market_params.csv,C04,sigma2_daily,2471.350681,(tonnes/day)^2,derived,SCENARIO_ASSUMPTION,T_DAILY_VARIANCE_001,SCEN_DEMAND_CV,"[""market_params.csv:C04:mu_daily_tonnes"", ""SCEN_DEMAND_CV""]",documented,
market_params.csv:C04:observed_price_cny_per_tonne,market_params.csv,C04,observed_price_cny_per_tonne,3340.0,CNY/tonne,observed,PRICE_C04,,,[],pending_verification,
market_params.csv:C04:v_i_baseline,market_params.csv,C04,v_i_baseline,340.0,CNY/tonne,derived,PRICE_C04,T_RESERVATION_PRICE_001,SCEN_PRODUCTION_COST_CNY_PER_TONNE,"[""market_params.csv:C04:observed_price_cny_per_tonne"", ""SCEN_PRODUCTION_COST_CNY_PER_TONNE""]",pending_verification,
market_params.csv:C04:price_status,market_params.csv,C04,price_status,observed_range_midpoint,configuration,identifier,PRICE_C04,,,[],pending_verification,
market_params.csv:C05:market_id,market_params.csv,C05,market_id,C05,configuration,identifier,STAT_C05,,,[],documented,
market_params.csv:C05:city,market_params.csv,C05,city,Hangzhou,configuration,identifier,STAT_C05,,,[],documented,
market_params.csv:C05:demand_weight,market_params.csv,C05,demand_weight,0.06501047,ratio,derived,STAT_C05,T_DEMAND_WEIGHT_001,,"[""STAT_C05"", ""STAT_C01"", ""STAT_C02"", ""STAT_C03"", ""STAT_C04"", ""STAT_C05"", ""STAT_C06"", ""STAT_C07"", ""STAT_C08"", ""STAT_M09"", ""STAT_M10"", ""STAT_M11"", ""STAT_M12"", ""STAT_M13"", ""STAT_M14"", ""STAT_M15""]",documented,
market_params.csv:C05:mu_annual_tonnes,market_params.csv,C05,mu_annual_tonnes,65010.469402,tonnes/year,derived,STAT_C05,T_MARKET_DEMAND_001,SCEN_REGIONAL_TOTAL_DEMAND_TONNES,"[""market_params.csv:C05:demand_weight"", ""SCEN_REGIONAL_TOTAL_DEMAND_TONNES""]",documented,
market_params.csv:C05:mu_daily_tonnes,market_params.csv,C05,mu_daily_tonnes,178.110875,tonnes/day,derived,SCENARIO_ASSUMPTION,T_DAILY_DEMAND_001,SCEN_OPERATING_DAYS,"[""market_params.csv:C05:mu_annual_tonnes"", ""SCEN_OPERATING_DAYS""]",documented,
market_params.csv:C05:sigma2_daily,market_params.csv,C05,sigma2_daily,1268.939353,(tonnes/day)^2,derived,SCENARIO_ASSUMPTION,T_DAILY_VARIANCE_001,SCEN_DEMAND_CV,"[""market_params.csv:C05:mu_daily_tonnes"", ""SCEN_DEMAND_CV""]",documented,
market_params.csv:C05:observed_price_cny_per_tonne,market_params.csv,C05,observed_price_cny_per_tonne,3310.0,CNY/tonne,observed,PRICE_C05,,,[],pending_verification,
market_params.csv:C05:v_i_baseline,market_params.csv,C05,v_i_baseline,310.0,CNY/tonne,derived,PRICE_C05,T_RESERVATION_PRICE_001,SCEN_PRODUCTION_COST_CNY_PER_TONNE,"[""market_params.csv:C05:observed_price_cny_per_tonne"", ""SCEN_PRODUCTION_COST_CNY_PER_TONNE""]",pending_verification,
market_params.csv:C05:price_status,market_params.csv,C05,price_status,observed,configuration,identifier,PRICE_C05,,,[],pending_verification,
market_params.csv:C06:market_id,market_params.csv,C06,market_id,C06,configuration,identifier,STAT_C06,,,[],documented,
market_params.csv:C06:city,market_params.csv,C06,city,Ningbo,configuration,identifier,STAT_C06,,,[],documented,
market_params.csv:C06:demand_weight,market_params.csv,C06,demand_weight,0.09268548,ratio,derived,STAT_C06,T_DEMAND_WEIGHT_001,,"[""STAT_C06"", ""STAT_C01"", ""STAT_C02"", ""STAT_C03"", ""STAT_C04"", ""STAT_C05"", ""STAT_C06"", ""STAT_C07"", ""STAT_C08"", ""STAT_M09"", ""STAT_M10"", ""STAT_M11"", ""STAT_M12"", ""STAT_M13"", ""STAT_M14"", ""STAT_M15""]",documented,
market_params.csv:C06:mu_annual_tonnes,market_params.csv,C06,mu_annual_tonnes,92685.481489,tonnes/year,derived,STAT_C06,T_MARKET_DEMAND_001,SCEN_REGIONAL_TOTAL_DEMAND_TONNES,"[""market_params.csv:C06:demand_weight"", ""SCEN_REGIONAL_TOTAL_DEMAND_TONNES""]",documented,
market_params.csv:C06:mu_daily_tonnes,market_params.csv,C06,mu_daily_tonnes,253.932826,tonnes/day,derived,SCENARIO_ASSUMPTION,T_DAILY_DEMAND_001,SCEN_OPERATING_DAYS,"[""market_params.csv:C06:mu_annual_tonnes"", ""SCEN_OPERATING_DAYS""]",documented,
market_params.csv:C06:sigma2_daily,market_params.csv,C06,sigma2_daily,2579.275205,(tonnes/day)^2,derived,SCENARIO_ASSUMPTION,T_DAILY_VARIANCE_001,SCEN_DEMAND_CV,"[""market_params.csv:C06:mu_daily_tonnes"", ""SCEN_DEMAND_CV""]",documented,
market_params.csv:C06:observed_price_cny_per_tonne,market_params.csv,C06,observed_price_cny_per_tonne,3140.0,CNY/tonne,observed,PRICE_C06,,,[],pending_verification,
